name	ensembl_id	gene_name	synonyms
phospholipase A2 group IIA	ENSG00000188257	PLA2G2A	PLA2G2A,PLA2B,PLA2L
regulator of chromosome condensation 2	ENSG00000179051	RCC2	RCC2,TD-60
JAZF zinc finger 1	ENSG00000153814	JAZF1	JAZF1,TIP27,DKFZP761K2222,ZNF802
ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2	ENSG00000047365	ARAP2	ARAP2,CENTD1,PARX
tumor associated calcium signal transducer 2	ENSG00000184292	TACSTD2	TACSTD2,M1S1,TROP2,GA733-1,EGP-1
fibroblast growth factor receptor 1	ENSG00000077782	FGFR1	FGFR1,FLT2,KAL2,H2,H3,H4,H5,CEK,FLG,BFGFR,N-SAM,CD331
WD repeat containing antisense to TP53	ENSG00000141499	WRAP53	WRAP53,WDR79,FLJ10385,TCAB1
homeobox A3	ENSG00000105997	HOXA3	HOXA3,HOX1E,HOX1
erb-b2 receptor tyrosine kinase 2	ENSG00000141736	ERBB2	ERBB2,NGL,NEU,HER-2,CD340,HER2
cytidine deaminase	ENSG00000158825	CDA	CDA,CDD
Rap1 GTPase-GDP dissociation stimulator 1	ENSG00000138698	RAP1GDS1	RAP1GDS1,SMGGDS
interferon alpha inducible protein 27	ENSG00000165949	IFI27	IFI27,P27,FAM14D,ISG12
MAF bZIP transcription factor K	ENSG00000198517	MAFK	MAFK,P18,NFE2U
hexamethylene bisacetamide inducible 1	ENSG00000186834	HEXIM1	HEXIM1,CLP-1,HIS1,MAQ1,EDG1
suppressor of cytokine signaling 1	ENSG00000185338	SOCS1	SOCS1,SOCS-1,SSI-1,JAB,TIP3,CISH1
CREB regulated transcription coactivator 3	ENSG00000140577	CRTC3	CRTC3,FLJ21868
ring finger protein 213	ENSG00000173821	RNF213	RNF213,C17ORF27,KIAA1618,MYMY2,KIAA1554,NET57,ALO17
RAS guanyl releasing protein 2	ENSG00000068831	RASGRP2	RASGRP2,CALDAG-GEFI
arginine vasopressin induced 1	ENSG00000119986	AVPI1	AVPI1,VIP32,PP5395,VIT32
runt related transcription factor 2	ENSG00000124813	RUNX2	RUNX2,CCD,CBFA1,CCD1,AML3,PEBP2A1,PEBP2AA1
metastasis associated 1	ENSG00000182979	MTA1	MTA1
cathepsin H	ENSG00000103811	CTSH	CTSH,CPSB,ACC-4,ACC-5,ACC4,ACC5
nudix hydrolase 6	ENSG00000170917	NUDT6	NUDT6,GFG-1,GFG,FGF2AS,FGF-AS
lysine acetyltransferase 14	ENSG00000149474	KAT14	KAT14,CSRP2BP,CRP2BP,DJ717M23.1,PRO1194,ATAC2
lymphotoxin beta	ENSG00000227507	LTB	LTB,TNFC,P33,TNFSF3
nucleoporin 98	ENSG00000110713	NUP98	NUP98,NUP96
high mobility group AT-hook 2	ENSG00000149948	HMGA2	HMGA2,HMGIC,BABL,LIPO
ERCC excision repair 2, TFIIH core complex helicase subunit	ENSG00000104884	ERCC2	ERCC2,XPD,MAG,EM9,MGC102762,MGC126218,MGC126219,TFIIH
solute carrier family 6 member 3	ENSG00000142319	SLC6A3	SLC6A3,DAT1,DAT
melanocortin 2 receptor	ENSG00000185231	MC2R	MC2R,ACTHR
haptoglobin-related protein	ENSG00000261701	HPR	HPR
heat shock protein 90 alpha family class A member 1	ENSG00000080824	HSP90AA1	HSP90AA1,HSPC1,HSPCA,HSP89,HSP90,FLJ31884,HSP90N
Kruppel like factor 3	ENSG00000109787	KLF3	KLF3,BKLF
speckle type BTB/POZ protein	ENSG00000121067	SPOP	SPOP,TEF2,BTBD32
RALBP1 associated Eps domain containing 2	ENSG00000169891	REPS2	REPS2,POB1
BTG anti-proliferation factor 1	ENSG00000133639	BTG1	BTG1,APRO2
SCY1 like pseudokinase 1	ENSG00000142186	SCYL1	SCYL1,NTKL,HT019,P105,GKLP,NKTL,TAPK,TRAP,TEIF,MGC78454
BRCA1 associated RING domain 1	ENSG00000138376	BARD1	BARD1
cyclin dependent kinase inhibitor 2C	ENSG00000123080	CDKN2C	CDKN2C,INK4C,P18
mucin 4, cell surface associated	ENSG00000145113	MUC4	MUC4
ubiquitin protein ligase E3A	ENSG00000114062	UBE3A	UBE3A,EPVE6AP,HPVE6A,AS,ANCR,E6-AP,FLJ26981
discs large MAGUK scaffold protein 1	ENSG00000075711	DLG1	DLG1,SAP97,SAP-97,HDLG,DLGH1,DJ1061C18.1.1
mutS homolog 3	ENSG00000113318	MSH3	MSH3,DUP,MRP1
high density lipoprotein binding protein	ENSG00000115677	HDLBP	HDLBP,VGL,HBP
PATJ, crumbs cell polarity complex component	ENSG00000132849	PATJ	PATJ,INADL,CIPP
HKR1, GLI-Kruppel zinc finger family member	ENSG00000181666	ZNF875	HKR1,ZNF875
lysine methyltransferase 2A	ENSG00000118058	KMT2A	KMT2A,MLL,TRX1,HRX,ALL-1,HTRX1,CXXC7,MLL1A
dicer 1, ribonuclease III	ENSG00000100697	DICER1	DICER1,MNG1,DICER,KIAA0928,K12H4.8-LIKE,HERNA
secreted frizzled related protein 4	ENSG00000106483	SFRP4	SFRP4,FRPHE,FRP-4,FRZB-2
minichromosome maintenance complex component 5	ENSG00000100297	MCM5	MCM5,CDC46
teratocarcinoma-derived growth factor 1	ENSG00000241186	TDGF1	TDGF1,CRIPTO,CR,CRIPTO-1
histone deacetylase 3	ENSG00000171720	HDAC3	HDAC3,RPD3,HD3,RPD3-2
CASC3, exon junction complex subunit	ENSG00000108349	CASC3	CASC3,MLN51,BTZ
solute carrier family 27 member 1	ENSG00000130304	SLC27A1	SLC27A1,FATP1,FATP,MGC71751,FLJ00336,ACSVL5
required for meiotic nuclear division 5 homolog B	ENSG00000145916	RMND5B	RMND5B,FLJ22318,GID2,GID2B
GTPase, IMAP family member 7	ENSG00000179144	GIMAP7	GIMAP7,MGC27027,IAN7
myelodysplastic syndrome 2 translocation associated	ENSG00000197880	MDS2	MDS2
cyclin dependent kinase inhibitor 3	ENSG00000100526	CDKN3	CDKN3,KAP,CDI1
cytochrome b5 reductase 4	ENSG00000065615	CYB5R4	CYB5R4,NCB5OR,B5+B5R,DJ676J13.1
PBX homeobox 1	ENSG00000185630	PBX1	PBX1
nuclear receptor subfamily 2 group F member 1	ENSG00000175745	NR2F1	NR2F1,ERBAL3,TFCOUP1,EAR-3,COUP-TFI,TCFCOUP1,SVP44,COUPTF1
beta-1,4-galactosyltransferase 5	ENSG00000158470	B4GALT5	B4GALT5,BETA4GALT-V
mitogen-activated protein kinase 7	ENSG00000166484	MAPK7	MAPK7,PRKM7,BMK1,ERK5
septin 2	ENSG00000168385	SEPTIN2	SEPTIN2,DIFF6,NEDD5,KIAA0158,HNEDD5,PNUTL3
serine peptidase inhibitor, Kunitz type 1	ENSG00000166145	SPINT1	SPINT1,HAI,MANSC2
interleukin 3 receptor subunit alpha	ENSG00000185291	IL3RA	IL3RA,CD123
clathrin heavy chain	ENSG00000141367	CLTC	CLTC,CLTCL2,HC
macrophage stimulating 1 receptor	ENSG00000164078	MST1R	MST1R,RON,PTK8,CDW136,CD136
defensin beta 1	ENSG00000164825	DEFB1	DEFB1,HBD-1,DEFB-1,DEFB101,HBD1,BD1,MGC51822
nuclear receptor interacting protein 1	ENSG00000180530	NRIP1	NRIP1,RIP140
abl interactor 1	ENSG00000136754	ABI1	ABI1,SSH3BP1,E3B1,ABI-1
neuroblastoma 1, DAN family BMP antagonist	ENSG00000158747	NBL1	NBL1,D1S1733E,NB,DAN,NO3,DAND1
nuclear respiratory factor 1	ENSG00000106459	NRF1	NRF1,EWG,ALPHA-PAL
paired related homeobox 1	ENSG00000116132	PRRX1	PRRX1,PMX1,PHOX1
non-POU domain containing octamer binding	ENSG00000147140	NONO	NONO,NRB54,NMT55,P54NRB,P54,PPP1R114
insulin like growth factor 1	ENSG00000017427	IGF1	IGF1,IGF1A,IGFI,IGF-I
profilin 1	ENSG00000108518	PFN1	PFN1
Fanconi anemia complementation group C	ENSG00000158169	FANCC	FANCC,FACC,FAC,FA3
paired box 3	ENSG00000135903	PAX3	PAX3,WS1,HUP2
nucleoporin 133	ENSG00000069248	NUP133	NUP133,FLJ10814
DAB2, clathrin adaptor protein	ENSG00000153071	DAB2	DAB2,DOC-2
arginine-glutamic acid dipeptide repeats	ENSG00000142599	RERE	RERE,ATN1L,KIAA0458,ARP,ARG,DNB1
syndecan 1	ENSG00000115884	SDC1	SDC1,SDC,CD138,SYNDECAN,SYND1
arginine and serine rich protein 1	ENSG00000117616	RSRP1	RSRP1,C1ORF63,DJ465N24.2.1
Fanconi anemia complementation group A	ENSG00000187741	FANCA	FANCA,FACA,FANCH,FAA,FA-H,FAH
platelet derived growth factor receptor alpha	ENSG00000134853	PDGFRA	PDGFRA,CD140A,PDGFR2,GAS9
high mobility group AT-hook 1	ENSG00000137309	HMGA1	HMGA1,HMGIY
isocitrate dehydrogenase (NADP(+)) 2, mitochondrial	ENSG00000182054	IDH2	IDH2
kallikrein related peptidase 5	ENSG00000167754	KLK5	KLK5,SCTE,KLK-L2
ERCC excision repair 5, endonuclease	ENSG00000134899	ERCC5	ERCC5,ERCM2,XPGC
semaphorin 4D	ENSG00000187764	SEMA4D	SEMA4D,SEMAJ,C9ORF164,CD100,COLL-4,FLJ39737
immunoglobulin heavy constant gamma 1 (G1m marker)		IGHG1	IGHG1
interleukin 23 subunit alpha	ENSG00000110944	IL23A	IL23A,SGRF,IL23P19,IL-23,IL-23A,P19
glutamate ionotropic receptor NMDA type subunit 2D	ENSG00000105464	GRIN2D	GRIN2D,NMDAR2D,GLUN2D,EB11,NR2D
XIAP associated factor 1	ENSG00000132530	XAF1	XAF1,BIRC4BP,XIAPAF1,HSXIAPAF1
catenin delta 1	ENSG00000198561	CTNND1	CTNND1,CTNND,KIAA0384,P120,P120CAS,P120CTN
kallikrein related peptidase 11	ENSG00000167757	KLK11	KLK11,PRSS20,TLSP
disrupted in renal carcinoma 1	ENSG00000174325	DIRC1	DIRC1
Wnt family member 3A	ENSG00000154342	WNT3A	WNT3A
ubiquitin specific peptidase 32	ENSG00000170832	USP32	USP32,NY-REN-60,USP10
fibrous sheath CABYR binding protein	ENSG00000189139	FSCB	FSCB,C14ORF155,DKFZP434F1017
potassium channel tetramerization domain containing 2	ENSG00000180901	KCTD2	KCTD2,KIAA0176
proteasome subunit alpha 5	ENSG00000143106	PSMA5	PSMA5,ZETA
pleckstrin 2	ENSG00000100558	PLEK2	PLEK2
tachykinin precursor 1	ENSG00000006128	TAC1	TAC1,TAC2,NKNA,NPK
checkpoint with forkhead and ring finger domains	ENSG00000072609	CHFR	CHFR,FLJ10796,RNF196
protein tyrosine phosphatase, non-receptor type 14	ENSG00000152104	PTPN14	PTPN14,PEZ
RAD51 paralog B	ENSG00000182185	RAD51B	RAD51B,RAD51L1,REC2,HREC2,R51H2
CD69 molecule	ENSG00000110848	CD69	CD69,CLEC2C
X-ray repair cross complementing 3	ENSG00000126215	XRCC3	XRCC3
MAGE family member E1	ENSG00000198934	MAGEE1	MAGEE1,KIAA1587,DAMAGE
lysine demethylase 2B	ENSG00000089094	KDM2B	KDM2B,FBXL10,PCCX2,CXXC2,FBL10,JHDM1B
aph-1 homolog A, gamma-secretase subunit	ENSG00000117362	APH1A	APH1A,APH-1A,CGI-78
cysteine rich protein 2	ENSG00000182809	CRIP2	CRIP2,CRP2,ESP1
double homeobox 4	ENSG00000260596	DUX4	DUX4
golgi associated, gamma adaptin ear containing, ARF binding protein 1	ENSG00000100083	GGA1	GGA1
pleckstrin homology and RhoGEF domain containing G2	ENSG00000090924	PLEKHG2	PLEKHG2,CLG,FLJ00018,ARHGEF42
far upstream element binding protein 1	ENSG00000162613	FUBP1	FUBP1,FUBP,FBP
mucin 5AC, oligomeric mucus/gel-forming	ENSG00000215182	MUC5AC	MUC5AC,MUC5
Pim-2 proto-oncogene, serine/threonine kinase	ENSG00000102096	PIM2	PIM2
adhesion G protein-coupled receptor E5	ENSG00000123146	ADGRE5	ADGRE5,CD97,TM7LN1
protein kinase D1	ENSG00000184304	PRKD1	PRKD1,PRKCM,PKCM,PKD,PKC-MU
EPH receptor A7	ENSG00000135333	EPHA7	EPHA7,HEK11
solute carrier family 4 member 1 (Diego blood group)	ENSG00000004939	SLC4A1	SLC4A1,EPB3,AE1,DI,WD,RTA1A,CD233,FR,SW,WR
ZFP36 ring finger protein like 1	ENSG00000185650	ZFP36L1	ZFP36L1,BRF1,RNF162B,BERG36,ERF1,TIS11B,CMG1
DCC netrin 1 receptor	ENSG00000187323	DCC	DCC,IGDCC1,NTN1R1
protein phosphatase 2 phosphatase activator	ENSG00000119383	PTPA	PTPA,PPP2R4,PR53
BAALC, MAP3K1 and KLF4 binding	ENSG00000164929	BAALC	BAALC
argininosuccinate lyase	ENSG00000126522	ASL	ASL
apoptotic peptidase activating factor 1	ENSG00000120868	APAF1	APAF1,CED4,APAF-1
NOP53 ribosome biogenesis factor	ENSG00000105373	NOP53	NOP53,GLTSCR2,PICT-1,PICT1
ATP binding cassette subfamily C member 1	ENSG00000103222	ABCC1	ABCC1,MRP,MRP1,GS-X
peroxiredoxin 1	ENSG00000117450	PRDX1	PRDX1,PAGA,NKEFA
cell proliferation regulating inhibitor of protein phosphatase 2A	ENSG00000163507	CIP2A	CIP2A,KIAA1524
RAP1A, member of RAS oncogene family	ENSG00000116473	RAP1A	RAP1A,KREV-1,SMGP21
advanced glycosylation end-product specific receptor	ENSG00000204305	AGER	AGER,RAGE,SCARJ1
GRB2 associated binding protein 1	ENSG00000109458	GAB1	GAB1
transforming growth factor beta 2	ENSG00000092969	TGFB2	TGFB2
ERBB receptor feedback inhibitor 1	ENSG00000116285	ERRFI1	ERRFI1,MIG-6,GENE-33,RALT
forkhead box P1	ENSG00000114861	FOXP1	FOXP1,QRF1,12CC4,HSPC215,HFKH1B
R-spondin 3	ENSG00000146374	RSPO3	RSPO3,THSD2,FLJ14440
nucleolar protein 3	ENSG00000140939	NOL3	NOL3,ARC,NOP30,MYP,CARD2
phospholipase C like 1 (inactive)	ENSG00000115896	PLCL1	PLCL1,PLCE,PLC-L,PLCL,PRIP,PPP1R127
cubilin	ENSG00000107611	CUBN	CUBN,MGA1,IFCR,GP280
cytochrome c oxidase subunit 6C	ENSG00000164919	COX6C	COX6C
adaptor related protein complex 3 subunit mu 2	ENSG00000070718	AP3M2	AP3M2,CLA20,AP47B
galectin 3 binding protein	ENSG00000108679	LGALS3BP	LGALS3BP,MAC-2-BP,90K,BTBD17B,TANGO10B,M2BP,GP90,CYCAP
growth arrest and DNA damage inducible gamma	ENSG00000130222	GADD45G	GADD45G,DDIT2,GADD45GAMMA,GRP17,CR6
cell division cycle 25C	ENSG00000158402	CDC25C	CDC25C,CDC25,PPP1R60
guanine monophosphate synthase	ENSG00000163655	GMPS	GMPS,GATD7
E2F transcription factor 1	ENSG00000101412	E2F1	E2F1,RBBP3,RBP3
nuclear receptor coactivator 4	ENSG00000266412	NCOA4	NCOA4,ARA70,RFG,ELE1,PTC3,DKFZP762E1112
MRE11 homolog, double strand break repair nuclease	ENSG00000020922	MRE11	MRE11,MRE11A,ATLD
dystonin	ENSG00000151914	DST	DST,BPAG1,BP240,KIAA0728,FLJ21489,FLJ13425,FLJ32235,FLJ30627,CATX-15,BPA,MACF2
microRNA 125b-1	ENSG00000207971	MIR125B1	MIR125B1,MIRN125B1,HSA-MIR-125B-1
cell division cycle 6	ENSG00000094804	CDC6	CDC6,CDC18L
kinase suppressor of ras 1	ENSG00000141068	KSR1	KSR1,KSR,RSU2
cytochrome P450 family 7 subfamily A member 1	ENSG00000167910	CYP7A1	CYP7A1,CYP7
acylaminoacyl-peptide hydrolase	ENSG00000164062	APEH	APEH,D3F15S2,DNF15S2,D3S48E
tenascin N	ENSG00000120332	TNN	TNN
ATP binding cassette subfamily B member 4	ENSG00000005471	ABCB4	ABCB4,PGY3,MDR3,MDR2,PFIC-3,GBD1
syntaxin 4	ENSG00000103496	STX4	STX4,STX4A,P35-2
B cell CLL/lymphoma 11A	ENSG00000119866	BCL11A	BCL11A,EVI9,BCL11A-XL,BCL11A-L,BCL11A-S,CTIP1,HBFQTL5,ZNF856
androgen receptor	ENSG00000169083	AR	AR,DHTR,SBMA,AIS,NR3C4,SMAX1,HUMARA
tet methylcytosine dioxygenase 2	ENSG00000168769	TET2	TET2,KIAA1546,FLJ20032
insulin like growth factor binding protein 1	ENSG00000146678	IGFBP1	IGFBP1,IBP1,IGF-BP25,AFBP,HIGFBP-1,PP12
runt related transcription factor 1	ENSG00000159216	RUNX1	RUNX1,AML1,CBFA2,PEBP2A2,AMLCR1
matrix metallopeptidase 11	ENSG00000099953	MMP11	MMP11,STMY3
ATP binding cassette subfamily B member 10	ENSG00000135776	ABCB10	ABCB10,EST20237,M-ABC2,MTABC2
solute carrier family 30 member 5	ENSG00000145740	SLC30A5	SLC30A5,ZTL1,ZNT-5,FLJ12496,FLJ12756,ZNT5,MGC5499,ZNTL1
RUNX1 translocation partner 1	ENSG00000079102	RUNX1T1	RUNX1T1,AML1T1,CBFA2T1,CDR,ETO,MTG8,ZMYND2
MDS1 and EVI1 complex locus	ENSG00000085276	MECOM	MECOM,MDS1,EVI1,MDS1-EVI1,PRDM3,KMT8E
spectrin repeat containing nuclear envelope family member 3	ENSG00000176438	SYNE3	SYNE3,C14ORF49,LINC00341,C14ORF139,NCRNA00341,FLJ25605,NET53,NESPRIN-3,NESP3
actin like 9	ENSG00000181786	ACTL9	ACTL9,MGC33407
sorting nexin 5	ENSG00000089006	SNX5	SNX5
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	ENSG00000099956	SMARCB1	SMARCB1,SNF5L1,BAF47,INI1,SNR1,HSNFS,SFH1P,RDT,PPP1R144,SNF5
CD200 molecule	ENSG00000091972	CD200	CD200,MOX1,MOX2,MRC,OX-2
xyloside xylosyltransferase 1	ENSG00000173950	XXYLT1	XXYLT1,C3ORF21,FLJ35155
NEDD4 binding protein 3	ENSG00000145911	N4BP3	N4BP3,LZTS4
nuclear factor I C	ENSG00000141905	NFIC	NFIC,NFI,CTF,NF-I,CTF5
afadin, adherens junction formation factor	ENSG00000130396	AFDN	AFDN,MLLT4,AF-6,AF6
forkhead box O4	ENSG00000184481	FOXO4	FOXO4,MLLT7,AFX1
FosB proto-oncogene, AP-1 transcription factor subunit	ENSG00000125740	FOSB	FOSB,G0S3,GOSB,GOS3,AP-1,MGC42291,DKFZP686C0818
leucine rich repeats and immunoglobulin like domains 1	ENSG00000144749	LRIG1	LRIG1,LIG-1,DKFZP586O1624,LIG1
SLIT-ROBO Rho GTPase activating protein 3	ENSG00000196220	SRGAP3	SRGAP3,SRGAP2,KIAA0411,MEGAP,WRP,ARHGAP14
roundabout guidance receptor 1	ENSG00000169855	ROBO1	ROBO1,DUTT1,FLJ21882,SAX3
microcephalin 1	ENSG00000147316	MCPH1	MCPH1,FLJ12847,BRIT1
AKT serine/threonine kinase 3	ENSG00000117020	AKT3	AKT3,PKBG,RAC-GAMMA,PRKBG
THO complex 5	ENSG00000100296	THOC5	THOC5,C22ORF19,PK1.3,KIAA0983,FMIP,FSAP79
eukaryotic translation initiation factor 3 subunit E	ENSG00000104408	EIF3E	EIF3E,INT6,EIF3S6,EIF3-P48
paternally expressed 10	ENSG00000242265	PEG10	PEG10,KIAA1051,HB-1,MEF3L,RGAG3,MAR2,MART2,SIRH1,RTL2
BCL2 like 2	ENSG00000129473	BCL2L2	BCL2L2,KIAA0271,BCL-W,PPP1R51
SEL1L, ERAD E3 ligase adaptor subunit	ENSG00000071537	SEL1L	SEL1L,IBD2,SEL1L1
ALG14, UDP-N-acetylglucosaminyltransferase subunit	ENSG00000172339	ALG14	ALG14,MGC19780
interferon regulatory factor 4	ENSG00000137265	IRF4	IRF4,MUM1,LSIRF
tripartite motif containing 37	ENSG00000108395	TRIM37	TRIM37,MUL,KIAA0898,POB1,TEF3
Ras association domain family member 6	ENSG00000169435	RASSF6	RASSF6
tumor susceptibility 101	ENSG00000074319	TSG101	TSG101,TSG10,VPS23
heat shock protein 90 alpha family class B member 1	ENSG00000096384	HSP90AB1	HSP90AB1,HSPC2,HSPCB
chromosome 15 open reading frame 65	ENSG00000261652	C15orf65	C15orf65,FLJ27352
RAD9 checkpoint clamp component A	ENSG00000172613	RAD9A	RAD9A,RAD9
serine/threonine kinase 38 like	ENSG00000211455	STK38L	STK38L,KIAA0965,NDR2
interferon regulatory factor 1	ENSG00000125347	IRF1	IRF1,MAR
FLII, actin remodeling protein	ENSG00000177731	FLII	FLII,FLI,FLIL,FLI1,MGC39265
RB transcriptional corepressor like 1	ENSG00000080839	RBL1	RBL1,P107,CP107,PRB1
glutathione peroxidase 1	ENSG00000233276	GPX1	GPX1
sphingosine-1-phosphate receptor 4	ENSG00000125910	S1PR4	S1PR4,EDG6
bone morphogenetic protein receptor type 1A	ENSG00000107779	BMPR1A	BMPR1A,ACVRLK3,ALK3,CD292
nuclear factor of activated T cells 3	ENSG00000072736	NFATC3	NFATC3,NFAT4,NFATX
peptidyl arginine deiminase 2	ENSG00000117115	PADI2	PADI2,KIAA0994,PDI2
mutS homolog 2	ENSG00000095002	MSH2	MSH2,COCA1,HNPCC,HNPCC1
FEV, ETS transcription factor	ENSG00000163497	FEV	FEV,PET-1
BCL2 associated agonist of cell death	ENSG00000002330	BAD	BAD,BCL2L8,BBC2
FOS like 1, AP-1 transcription factor subunit	ENSG00000175592	FOSL1	FOSL1,FRA-1
regulatory factor X2	ENSG00000087903	RFX2	RFX2,FLJ14226
paired box 6	ENSG00000007372	PAX6	PAX6,AN2,D11S812E,AN,WAGR
ninein	ENSG00000100503	NIN	NIN
cyclin dependent kinase inhibitor 1C	ENSG00000129757	CDKN1C	CDKN1C,BWCR,BWS,P57,KIP2
zinc finger protein 239	ENSG00000196793	ZNF239	ZNF239,MOK2,HOK-2
obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF	ENSG00000154358	OBSCN	OBSCN,KIAA1556,UNC89,KIAA1639,ARHGEF30
Ras association domain family member 1	ENSG00000068028	RASSF1	RASSF1,NORE2A,REH3P21,RDA32,123F2
histone cluster 1 H3 family member b	ENSG00000274750	H3C6	H3C6,H3FL,H3/L
Fc fragment of IgG receptor IIb	ENSG00000072694	FCGR2B	FCGR2B,FCG2,FCGR2,CD32,CD32B
estrogen receptor 1	ENSG00000091831	ESR1	ESR1,ESR,NR3A1,ERA,ER-ALPHA
Ras association domain family member 2	ENSG00000101265	RASSF2	RASSF2,KIAA0168,CENP-34
HCK proto-oncogene, Src family tyrosine kinase	ENSG00000101336	HCK	HCK,JTK9
protein phosphatase 1 regulatory inhibitor subunit 1B	ENSG00000131771	PPP1R1B	PPP1R1B,DARPP-32,FLJ20940
cannabinoid receptor 2	ENSG00000188822	CNR2	CNR2,CB2
RAD23 homolog B, nucleotide excision repair protein	ENSG00000119318	RAD23B	RAD23B,HHR23B,P58,HR23B
GRB2 associated binding protein 2	ENSG00000033327	GAB2	GAB2,KIAA0571
fibroblast growth factor 14	ENSG00000102466	FGF14	FGF14,FHF4,SCA27
IQ motif containing E	ENSG00000106012	IQCE	IQCE,KIAA1023
cysteine rich hydrophobic domain 2	ENSG00000109220	CHIC2	CHIC2,BTL
PR/SET domain 16	ENSG00000142611	PRDM16	PRDM16,MEL1,PFM13,KIAA1675,MGC166915,KMT8F
serpin family B member 3	ENSG00000057149	SERPINB3	SERPINB3,SCC,SCCA1,T4-A,HST1196
PBX/knotted 1 homeobox 1	ENSG00000160199	PKNOX1	PKNOX1,PREP1
angiomotin	ENSG00000126016	AMOT	AMOT,KIAA1071
signal peptide peptidase like 3	ENSG00000157837	SPPL3	SPPL3,IMP2,PSL4,MGC90402,MGC126674,MGC126676,DKFZP586C1324
breakpoint cluster region pseudogene 3		BCRP3	BCRP3,BCR3,BCRL6,BCRL3
vav guanine nucleotide exchange factor 1	ENSG00000141968	VAV1	VAV1,VAV
notch 3	ENSG00000074181	NOTCH3	NOTCH3,CADASIL,CASIL
TNF alpha induced protein 1	ENSG00000109079	TNFAIP1	TNFAIP1,EDP1,B61,B12,MGC2317,BTBD34
ADAM metallopeptidase domain 12	ENSG00000148848	ADAM12	ADAM12,MCMPMLTNA,MLTN
interleukin 22	ENSG00000127318	IL22	IL22,ILTIF,IL-21,ZCYTO18,IL-TIF,IL-D110,TIFA,TIFIL-23,IL-22,MGC79382,MGC79384
transporter 2, ATP binding cassette subfamily B member	ENSG00000204267	TAP2	TAP2,ABCB3,PSF2,RING11,D6S217E
megakaryocyte-associated tyrosine kinase	ENSG00000007264	MATK	MATK,HYLTK,CTK,HYL,LSK,CHK,HHYLTK,DKFZP434N1212,MGC1708,MGC2101
inhibitor of DNA binding 2	ENSG00000115738	ID2	ID2,GIG8,BHLHB26
ubiquitin like 7	ENSG00000138629	UBL7	UBL7,BMSC-UBP,MGC14421
activin A receptor type 2A	ENSG00000121989	ACVR2A	ACVR2A,ACVR2,ACTRII
SRSF protein kinase 2	ENSG00000135250	SRPK2	SRPK2,SFRSK2
haloacid dehalogenase like hydrolase domain containing 5	ENSG00000069998	HDHD5	HDHD5,CECR5
forkhead box L1	ENSG00000176678	FOXL1	FOXL1,FKHL11,FREAC7,FKH6
ring finger protein 7	ENSG00000114125	RNF7	RNF7,SAG,ROC2,CKBBP1
Wnt family member 5A	ENSG00000114251	WNT5A	WNT5A,HWNT5A
sex hormone binding globulin	ENSG00000129214	SHBG	SHBG,ABP,TEBG,MGC126834,MGC138391
mechanistic target of rapamycin kinase	ENSG00000198793	MTOR	MTOR,FRAP,FRAP2,FRAP1,RAFT1,RAPT1,FLJ44809
PTC7 protein phosphatase homolog	ENSG00000196850	PPTC7	PPTC7,TA-PP2C
cell division cycle 20	ENSG00000117399	CDC20	CDC20,P55CDC,CDC20A
serine incorporator 3	ENSG00000132824	SERINC3	SERINC3,TDE1,DIFF33,TDE,SBBI99,TMS-1,AIGP1
TNF receptor associated factor 4	ENSG00000076604	TRAF4	TRAF4,CART1,MLN62,RNF83
GADD45G interacting protein 1	ENSG00000179271	GADD45GIP1	GADD45GIP1,PLINP-1,MGC4667,MGC4758,CKBBP2,PRG6,PLINP1,CRIF1,CKBETABP2
inhibin subunit alpha	ENSG00000123999	INHA	INHA
TAL bHLH transcription factor 1, erythroid differentiation factor	ENSG00000162367	TAL1	TAL1,TCL5,SCL,BHLHA17
AF4/FMR2 family member 1	ENSG00000172493	AFF1	AFF1,PBM1,MLLT2,AF-4,AF4
solute carrier family 34 member 2	ENSG00000157765	SLC34A2	SLC34A2,NAPI-3B
semaphorin 4B	ENSG00000185033	SEMA4B	SEMA4B,SEMAC,SEMC,KIAA1745,MGC131831
NSF attachment protein alpha	ENSG00000105402	NAPA	NAPA
C2 calcium dependent domain containing 5	ENSG00000111731	C2CD5	C2CD5,KIAA0528,CDP138
euchromatic histone lysine methyltransferase 1	ENSG00000181090	EHMT1	EHMT1,EHMT1-IT1,EU-HMTASE1,FLJ12879,KIAA1876,BA188C12.1,KMT1D,FLJ40292
microRNA 29a	ENSG00000284032	MIR29A	MIR29A,MIRN29,MIRN29A,HSA-MIR-29,HSA-MIR-29A
inka box actin regulator 2	ENSG00000197852	INKA2	INKA2,C1ORF183,FAM212B,FLJ31105
fibroblast growth factor 13	ENSG00000129682	FGF13	FGF13,FHF2,FGF2
PLAG1 zinc finger	ENSG00000181690	PLAG1	PLAG1,ZNF912
MAF bZIP transcription factor G	ENSG00000197063	MAFG	MAFG,MGC13090,MGC20149
pyruvate kinase M1/2	ENSG00000067225	PKM	PKM,PKM2,THBP1,OIP3,PK3
signal transducer and activator of transcription 5A	ENSG00000126561	STAT5A	STAT5A,STAT5,MGF
pre T cell antigen receptor alpha	ENSG00000171611	PTCRA	PTCRA,PTA,PT-ALPHA
